TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,ORB,FTR,2P_O,3P_O,YEAR
Penn St.,33,15,103.4,96.8,0.6811,47.2,17.9,26.6,32.8,45.4,33.9,2017
Rutgers,32,15,100.8,98.2,0.5757,44.7,19.7,37.5,31.2,44.5,30.2,2017
Illinois,31,14,110.7,101.7,0.727,49.8,18.8,34,33.1,49.8,33.2,2018
Indiana,31,16,108.8,98,0.7685,51.1,18.2,31.8,36.4,52.5,32.2,2018
Iowa,33,14,116.1,106.9,0.7202,54.3,18.7,34.1,35.4,53.3,37.5,2018
Maryland,31,19,113.9,97.8,0.853,54.3,20.4,31.4,37.9,53.9,36.8,2018
Minnesota,32,15,108.3,101.8,0.6706,48.7,15.5,30,35.1,47.1,34.6,2018
Nebraska,33,22,110.4,96.1,0.8325,49.1,16,30.1,37.6,47.6,34.6,2018
Northwestern,31,15,109,99,0.7512,49.5,17.8,29.4,29.1,47.1,35.4,2018
Penn St.,39,26,115,93.6,0.9148,52.6,17.3,31.7,31.5,49.8,38.7,2018
Rutgers,33,15,98.1,95,0.589,43.6,17.2,33.3,30.5,43.4,29.6,2018
Wisconsin,33,15,108.7,98.3,0.7618,50.9,16.8,28.4,32.7,51.2,33.5,2018
Illinois,33,12,109.7,99.1,0.7633,49.6,18.4,29.1,29.5,48.2,34.5,2019
Indiana,35,19,107.5,95.2,0.802,51,17.9,28.1,34.6,53.1,31.2,2019
Nebraska,35,19,112.5,98.1,0.8285,49.2,14.3,28.5,33,48.6,33.4,2019
Northwestern,32,13,101.2,92.8,0.7319,46.6,16.1,24.2,30.2,46.4,31.3,2019
Penn St.,32,14,109.9,92.8,0.8755,47.5,18.1,31.9,32.3,47.2,32,2019
Rutgers,31,14,104.9,96.1,0.7336,47,19.1,33.4,31.7,47.2,31.2,2019
Kansas St.,32,15,104.6,96.2,0.7242,47.8,20.9,34,46,46.9,33.5,2015
TCU,33,18,107.6,94.2,0.821,47.9,18.4,37.5,46.5,47.5,32.7,2015
Texas Tech,32,13,101.4,98.4,0.5857,45.7,21.8,34.6,46.1,44.5,32.3,2015
Kansas St.,33,17,108.5,93.8,0.8431,47.6,20.3,37,42.5,48.7,30,2016
Oklahoma St.,32,10,105.7,97,0.7298,48.3,19.1,28.8,38.3,47.8,32.8,2016
TCU,33,12,100.1,97,0.5873,45.7,20.7,29.3,45.6,43.7,33.5,2016
Oklahoma,31,11,107,94.5,0.8062,47.4,19,30.8,36.7,45.7,34.3,2017
TCU,38,24,114,97.1,0.8635,52.7,18.8,34.1,32.2,52.2,35.7,2017
Texas,33,11,103.5,93.6,0.7608,48.8,19.6,28.4,34.5,51.3,29.2,2017
Texas Tech,32,18,111.3,96.7,0.8348,52.9,16.5,30,35.6,51.9,36.7,2017
Baylor,33,19,110.5,95.5,0.843,51.8,19.8,35.5,32.2,51.3,35.4,2018
Iowa St.,31,13,110.2,101.3,0.7249,49.9,17,29.5,29.8,47.9,35.8,2018
Oklahoma St.,36,21,112.7,96.8,0.852,49.8,18.1,34.2,32.2,48.3,34.8,2018
Oklahoma St.,32,12,109.1,100.6,0.7177,50.1,18,26.4,30.6,46,37.2,2019
TCU,37,23,109.8,94.5,0.8486,52.1,19.2,31.2,31.7,52.3,34.6,2019
Texas,37,21,113.3,93.7,0.899,50.9,16.2,28.1,29.7,49.8,34.8,2019
West Virginia,36,15,108.8,100.7,0.7087,47.5,21.3,36.9,38.9,47.6,31.6,2019
Creighton,33,14,109.6,99.8,0.745,49.4,18.4,31.3,36.3,47.6,34.6,2015
DePaul,32,12,107.5,103.8,0.5972,50.7,19.8,27.4,36.5,49.2,35.2,2015
Marquette,32,13,104,95.6,0.7237,49.8,19.3,29,35.8,48.8,34.4,2015
Seton Hall,31,16,107.7,98.6,0.7353,48.2,18.7,34.7,38.1,46,35,2015
Creighton,35,20,112.8,96.3,0.8604,53.8,16.1,27.3,37.5,54.5,35.2,2016
DePaul,31,9,103.9,104.1,0.4935,49.4,21.5,30.7,36.5,48.6,34.3,2016
Georgetown,33,15,111.3,98,0.8118,51.2,19.1,28.3,37.9,51.4,33.9,2016
Marquette,33,20,108.9,98.5,0.7601,52,20,28.1,40.5,52.4,33.9,2016
St. John's,31,7,96.3,100.6,0.3775,45.4,20.9,27.5,38,44.1,32,2016
DePaul,32,9,102.9,103.1,0.4937,48.1,20.4,29.9,35.6,47.7,32.6,2017
Georgetown,32,14,107.5,96.4,0.777,52,20.1,29,42.6,51.8,34.9,2017
St. John's,33,14,108.5,102.2,0.6651,50.3,17.7,27.4,36.2,47.5,36.4,2017
DePaul,31,11,103.8,96,0.7111,47.9,19.4,32.9,29.4,48.5,31,2018
Georgetown,30,15,111.5,100.4,0.7688,51.8,20.7,31.3,38.3,50.1,36.6,2018
Marquette,35,21,120.1,103.8,0.8434,56.8,17.3,27.6,28.8,52.2,41.7,2018
St. John's,32,16,106,95.1,0.7764,49.2,16.4,23.6,30.4,48.8,33.3,2018
Butler,33,16,110.5,100.9,0.7394,52.1,16.1,25.7,25.2,51.4,35.3,2019
Creighton,34,20,110.9,97.1,0.8229,56.2,18.6,24.7,29,55.7,37.9,2019
DePaul,36,19,111.7,106.3,0.6381,52.7,18.8,32.7,36.1,53.3,34.3,2019
Georgetown,33,19,107.7,101.3,0.6675,51,17.9,29.1,38.2,49.6,35.6,2019
Providence,34,18,104.3,95,0.7446,48,18.7,31.8,39.1,47.5,32.6,2019
Xavier,35,19,110.4,99.1,0.7748,52.8,19.6,32.2,32.6,54.7,33.1,2019
Idaho,28,11,104.7,110.8,0.3432,53.4,17.5,30.7,38.6,49.2,41,2015
Idaho St.,28,5,96.2,109.9,0.1767,48.1,18.7,29.9,37,46.6,34.9,2015
Montana,31,18,104.5,104.2,0.5063,53.7,18,27.6,33.3,52.9,36.6,2015
Montana St.,29,6,94.7,107.8,0.1838,46.9,20.6,29.1,28.7,42.4,35.6,2015
North Dakota,28,6,96.1,109,0.1904,48.4,17.9,24.7,38.5,47.8,33.1,2015
Northern Arizona,37,22,100.1,101.7,0.4547,46.1,17.7,35.3,36.4,42.9,34.8,2015
Northern Colorado,28,13,107.5,115.6,0.3007,53,16.2,33.6,35.1,51.4,37.5,2015
Portland St.,27,13,100.9,107.9,0.3144,48.7,16.4,27.6,37.2,45.5,37.3,2015
Sacramento St.,31,19,105.9,110.9,0.3714,53.9,16.6,27.2,35.5,50.9,40.8,2015
Southern Utah,28,9,96.8,109.4,0.1963,52.3,20.1,22.6,38.7,48.4,39.7,2015
Weber St.,28,11,98.1,105.2,0.3086,48,20.5,28.8,46,45,34.9,2015
Eastern Washington,32,16,111.6,112.9,0.4674,56.4,16.1,26.7,35.9,55.4,38.4,2016
Idaho,32,19,98.3,102.8,0.3743,48.7,22.7,34.4,44.6,46.1,36.3,2016
Idaho St.,29,14,98.4,107.8,0.2612,50.1,18.3,24.7,38.5,48,35.7,2016
Montana,30,18,105.5,104.2,0.5345,53.4,18.3,28.4,36.8,51.8,37.3,2016
Montana St.,30,13,106.4,111.6,0.3654,50.8,17.3,33,30.7,47.2,37.2,2016
North Dakota,30,14,99.4,101.4,0.4438,50.6,18.1,23.8,39.3,48.7,36.7,2016
Northern Arizona,28,3,92.6,112.9,0.0926,45.2,18.1,22.3,36.1,42.3,33.4,2016
Northern Colorado,29,8,101,117.3,0.1513,50.7,19.9,29.2,43.4,48.8,36.4,2016
Portland St.,29,11,102,109.5,0.307,51.2,17.4,28.7,33.9,52.7,31.5,2016
Sacramento St.,29,12,96.8,108.1,0.2178,49.3,16.7,26.3,34.9,49.2,33.1,2016
Southern Utah,28,4,97.3,117.8,0.1001,49.3,18.8,23.9,35.4,46.5,36.4,2016
Eastern Washington,32,22,108.6,110,0.4632,54.2,17.1,27.3,34.8,53.7,36.8,2017
Idaho,31,19,101.3,105.3,0.3925,49.9,18.7,30.3,39.9,47,36.4,2017
Idaho St.,30,6,97.6,114.3,0.1391,50.2,19.3,22,38.1,48.2,35.6,2017
Montana,32,16,104.9,107.3,0.4375,51.2,15.6,28,33,49.9,35.7,2017
Montana St.,30,16,101.8,108.2,0.3316,51.2,16.6,27.2,36.3,47.7,37.2,2017
Northern Arizona,31,9,94.4,109.4,0.1556,46.7,20.4,31.3,33.2,46.1,31.7,2017
Northern Colorado,27,11,97.2,105.4,0.2841,51,20.3,27.4,34.4,50.6,34.3,2017
Portland St.,28,15,102.9,110.8,0.2979,52.5,16.1,25.7,38.1,53.9,33.4,2017
Sacramento St.,29,13,100.1,111.4,0.2263,49.8,16.8,27.4,37.3,51.1,31,2017
Southern Utah,31,6,100.5,118.5,0.1311,47.7,18.4,29.4,40.3,43,36.3,2017
Weber St.,32,20,107.1,109,0.4495,56,16.9,21.4,42.9,53,40.3,2017
Eastern Washington,33,20,107.4,103.3,0.6107,54,16.8,21.6,28,52,37.9,2018
Idaho,29,22,107.9,106.6,0.5348,54.7,19.4,31.1,30.4,50.3,41.1,2018
Idaho St.,28,14,104.2,108.1,0.394,55,18.5,19.8,34.5,52.4,39.4,2018
Montana St.,30,13,101.9,110.3,0.2875,47.8,17.1,28.7,39,46.1,33.8,2018
North Dakota,30,12,102,109,0.3181,51.8,17.4,19.8,35.5,51.4,35.1,2018
Northern Arizona,30,5,92.2,108.9,0.1295,44.9,22,27,42.6,44.5,30.5,2018
Northern Colorado,35,26,106.7,100.2,0.674,53.7,16.7,25.6,33.7,54,35.5,2018
Portland St.,31,20,106.8,107,0.494,49.2,16.5,34.7,33.3,48.9,33.2,2018
Sacramento St.,30,7,98.6,110.5,0.2122,49,17.9,24.1,27.8,47.7,34.6,2018
Southern Utah,30,13,100.7,108.1,0.3062,50.4,17.4,22.6,35.9,48.2,36.1,2018
Weber St.,28,20,105.4,106.1,0.4784,56,17.5,19.3,35.1,52.5,41,2018
Eastern Washington,33,16,100.1,106.4,0.3297,50.3,17.1,24.6,27,48.9,34.8,2019
Idaho,29,5,94.5,118,0.072,50.3,20,24.2,28.2,46.5,37.6,2019
Idaho St.,28,11,102.7,116.6,0.189,52,17.6,25.8,28.8,50.4,36.2,2019
Montana St.,31,15,105.6,115.7,0.2578,53.4,17.1,26.3,34.9,51.1,37.6,2019
North Dakota,26,12,97.4,104.6,0.305,51.3,17.9,21,27.2,49.6,36,2019
Northern Arizona,31,10,99.4,112,0.2012,50.3,17,25.8,33.8,49.2,34.6,2019
Northern Colorado,30,21,102.3,103,0.4808,53,18.4,27.7,34.8,53.6,34.9,2019
Portland St.,29,16,101.1,111.2,0.2513,46.9,19.4,38.7,37.3,48.3,29.8,2019
Sacramento St.,28,15,96.4,105.7,0.2581,48.7,19.1,28.2,33.5,48.3,33.1,2019
Southern Utah,32,17,96,105,0.2635,50.2,18.9,23.2,39.4,50,33.7,2019
Weber St.,31,18,99.9,105.3,0.3537,53.2,16,19.2,37.1,53.4,35.2,2019
Campbell,29,7,96,107.8,0.2088,49.8,20.1,27.5,35.9,46.5,36,2015
Charleston Southern,28,16,103.9,107.4,0.4061,48.5,17.2,33.4,34.9,46.7,33.7,2015
Gardner Webb,31,16,105.2,109.8,0.3783,51,17.4,29.8,37.7,50.4,34.6,2015
High Point,30,20,104.5,104.9,0.4898,51.9,17.5,30.6,34.1,49.3,38.6,2015
Liberty,28,4,89.8,109.4,0.0938,46,24.5,30.6,40.2,45.8,31,2015
Longwood,32,9,95.5,108.7,0.1834,49,20.7,26.9,30,44.9,36.9,2015
Presbyterian,28,6,94.8,111.4,0.1351,48.4,20.9,27.3,33.3,48.8,31.7,2015
Radford,31,19,102.7,104.3,0.4552,50,18.1,34.5,35.4,50.5,32.6,2015
UNC Asheville,28,12,100.3,107.4,0.3131,49.9,20.8,31.6,35.4,48.2,35.2,2015
Winthrop,29,16,103.1,103.8,0.4796,50.8,17.7,29.4,35.9,49.2,35.5,2015
Campbell,27,9,99.6,113.1,0.1871,49.5,16.4,22,41.4,50.7,31.7,2016
Charleston Southern,27,6,97.8,110.5,0.1959,50,17.9,24.7,27.4,49.4,33.8,2016
Coastal Carolina,30,18,100.7,101.5,0.4796,49.5,18.8,30.6,35.7,49.1,33.4,2016
Gardner Webb,30,14,100.1,106.6,0.3269,47.7,18.6,31.6,34.9,46,33.5,2016
High Point,29,18,109.2,109.5,0.4905,51.9,15.9,31.9,35,49.8,38.2,2016
Liberty,29,10,97.9,110.8,0.194,53.1,21.3,21,25.5,52,36.1,2016
Longwood,30,7,99.2,113.9,0.1695,50.7,20.5,29.6,34.3,49.8,34.9,2016
Presbyterian,28,8,93,110.1,0.1254,47.3,21,26,34.8,47.7,30.8,2016
Radford,29,14,102,109,0.3182,50.2,19.3,34.4,29,49.5,34.4,2016
Winthrop,29,20,105.8,107.4,0.4576,54.2,17.8,26,41.1,53.9,36.4,2016
Campbell,34,19,99.9,109.2,0.2656,51.4,18.7,24.2,36.6,50.2,35.6,2017
Charleston Southern,28,12,102.2,116.1,0.1863,48.7,16.2,27.4,35,48,33.3,2017
Gardner Webb,30,19,101.5,102.4,0.4744,52.1,20.4,30.8,44.7,50.3,37.6,2017
High Point,28,15,98.2,107.9,0.2528,48.3,19.2,28.1,36.4,44.8,37.5,2017
Liberty,32,21,98.1,102.8,0.3669,52.3,16,15,34.2,50.4,36.1,2017
Longwood,28,6,91.2,117.5,0.0513,49.3,21.9,21.5,29,49.6,32.5,2017
Presbyterian,28,5,87.2,118.2,0.0295,45.5,23.3,29,27.7,43.2,33.6,2017
Radford,30,14,95,107.6,0.1926,47.5,22.4,33.8,29.5,44.6,34.6,2017
UNC Asheville,31,23,104.9,101.9,0.582,54.1,16,24.4,34.9,51.8,39,2017
Campbell,31,18,104.9,110.3,0.3602,54.6,17.2,20.8,34,52.6,38.1,2018
Charleston Southern,28,15,99.9,107.3,0.3058,49,19.5,30.2,31.3,49,32.6,2018
Gardner Webb,29,14,97.6,104.8,0.305,49.1,20.1,25.2,28,48.1,34,2018
High Point,27,14,98.5,106.5,0.2907,49.3,19.1,30.9,34.1,47.6,35.9,2018
Liberty,34,22,102.8,104.7,0.447,52.8,18.2,22.9,33.7,51.1,36.8,2018
Longwood,30,7,89.4,109.2,0.0911,46.3,23,22.7,35.3,45.8,31.5,2018
Presbyterian,29,11,96.5,115.3,0.1144,49,18.8,24.9,28,46.8,34.6,2018
UNC Asheville,32,21,105.1,106.7,0.4561,54.6,19.4,24,31.3,52,39.4,2018
Winthrop,28,19,104.8,106.6,0.4528,54.8,19.7,26.2,35.9,54.8,36.5,2018
Campbell,30,20,106.9,108.8,0.4489,52.8,14.8,23.7,31.2,54.8,33.8,2019
Charleston Southern,30,18,100.1,100.6,0.4843,49.8,18,29.1,27,48.4,34.5,2019
Hampton,32,18,106.2,107.8,0.4565,48.9,14.6,28.1,34.8,47.5,34.1,2019
High Point,29,16,98.7,103.9,0.358,49.1,20.4,34.1,33.8,51,30.3,2019
Longwood,31,16,98.5,106.9,0.2814,52.4,20.4,24.5,33.6,50.8,36,2019
Presbyterian,33,20,107.9,109.8,0.4499,53.4,14.7,25.3,30.5,50.1,38,2019
Radford,30,22,107.3,104.4,0.5773,52.8,16.4,29.7,27,50.1,38,2019
UNC Asheville,28,4,93.1,116,0.0741,46.2,23.5,27.7,26.3,45.2,31.7,2019
USC Upstate,29,5,92.7,111.3,0.1084,47.4,19.9,24.7,25.3,46.8,32.1,2019
Winthrop,27,18,104.8,107,0.4404,54.2,20.2,28.7,30.4,53.3,36.7,2019
Cal Poly,27,11,101.5,100,0.5427,44.1,14.8,31.9,31.5,42.5,31.6,2015
Cal St. Fullerton,29,7,97.1,107,0.2464,45.7,19.2,28.5,36.7,44.9,31.8,2015
Cal St. Northridge,31,7,99,107.2,0.2858,45.3,19.5,28.4,41.1,44.3,33,2015
Hawaii,33,20,104.2,98.1,0.6685,49.3,18.7,32.2,36.7,49.3,32.8,2015
Long Beach St.,31,14,101.4,98.3,0.5883,47.6,20.2,31.5,34.4,46.3,33.2,2015
UC Davis,30,23,109.9,104.9,0.6306,57.3,20.9,28.6,39.3,51.7,44.1,2015
UC Riverside,29,12,96.1,100.2,0.3824,46.7,20.2,30.7,33.7,45.1,33,2015
UC Santa Barbara,31,17,108.1,101.3,0.6785,49.6,16.9,30.7,32,46.6,37,2015
Cal Poly,28,8,106.6,109.6,0.4223,48,15.1,30.1,35.2,44.9,35.4,2016
Cal St. Fullerton,28,8,101.4,108.4,0.3165,46.4,19,29.7,43.7,44.4,33.3,2016
Cal St. Northridge,28,8,99.2,105.8,0.323,46.7,19.4,27.6,42.1,47.1,30.2,2016
Long Beach St.,33,18,108,99.8,0.711,49.7,17.4,27.7,37.6,46.4,36.7,2016
UC Davis,28,9,93,98.8,0.3345,47.9,20.7,25,33.6,45.5,35.9,2016
UC Irvine,36,26,105.5,96.7,0.7317,51.1,18.2,29.1,35.1,49.3,36.7,2016
UC Riverside,31,12,99.6,104.6,0.3652,48.9,19.7,28.4,36.8,47,34.5,2016
UC Santa Barbara,32,18,106.3,97.9,0.7195,50.3,18.5,28.8,27.4,48.4,35.8,2016
Cal Poly,29,11,100.5,110.7,0.2478,47.3,16.1,25.6,29.4,45.1,33.5,2017
Cal St. Fullerton,30,17,97.1,103.1,0.3326,49.1,20.7,30.3,39.9,50.6,30.8,2017
Cal St. Northridge,28,11,103.3,114.4,0.2364,49.7,17.9,27.7,45,49.4,33.7,2017
Hawaii,29,14,96.6,103.6,0.311,48.5,20.3,28,36.9,48.6,32.1,2017
Long Beach St.,32,15,104.3,107.9,0.4042,48.7,19.9,31.6,36.2,47,35.1,2017
UC Irvine,34,21,102.1,98.4,0.6042,50,19.9,31.9,29.7,48.2,35.6,2017
UC Riverside,27,8,93.1,104.7,0.2053,45.7,19.9,26,30,44.9,31.6,2017
UC Santa Barbara,27,6,92,106.2,0.1597,42.1,18.3,30.8,28.8,41.7,28.5,2017
Cal Poly,29,9,96.3,113.6,0.1296,46.6,17.4,24.7,26.7,41.5,35.8,2018
Cal St. Northridge,28,6,97.3,113.2,0.1498,47.7,18.3,23.3,28.3,45.9,34.7,2018
Hawaii,28,17,99.1,101.4,0.4328,50.1,19.5,26.3,40.8,50.9,32.5,2018
Long Beach St.,31,15,104.6,107.5,0.4208,49.6,20.7,32.2,40.3,48.4,35.1,2018
UC Davis,31,22,103.2,100.8,0.5691,52,18.6,24.4,38.5,50.7,36.6,2018
UC Irvine,33,18,99.4,97.3,0.5585,48.1,20.5,32.3,28.2,47.5,33,2018
UC Riverside,29,9,92.8,103.5,0.2216,45.1,20,26.8,32.4,44.1,31.3,2018
UC Santa Barbara,30,23,110.2,106.2,0.6045,53,14.9,28.7,32,50.5,38.3,2018
Cal Poly,27,6,97.1,114.9,0.1262,47.2,17,26.1,25.8,46.6,32,2019
Cal St. Fullerton,32,16,97,102.2,0.354,49.1,19.1,24.5,38.5,50.3,30.8,2019
Cal St. Northridge,33,13,103.3,111.4,0.2967,51.5,16.7,28.4,31.8,50.3,36.1,2019
Hawaii,29,18,102.4,106,0.4013,52.3,17.6,26.9,31.2,52.2,35,2019
Long Beach St.,32,15,99.9,105.3,0.3533,47.6,19,28.9,40.8,46.3,33.8,2019
UC Davis,29,11,95.3,102.6,0.301,49,19.9,22.1,29.7,49,32.7,2019
UC Riverside,30,10,96.9,111.8,0.1613,51.2,20.3,25.1,22.7,47.2,38,2019
UC Santa Barbara,30,22,103.2,105.7,0.4295,50.3,16.8,33.1,39.5,49.4,34.8,2019
College of Charleston,33,9,93.7,102.7,0.2577,46,19.3,27.5,32.4,43.2,34.3,2015
Delaware,30,10,99.1,107.3,0.2855,47.1,18.4,28.8,38.1,44.5,34.5,2015
Drexel,29,11,98.2,104.1,0.3396,45,17,27.5,33.1,42.6,33,2015
Elon,31,13,96.2,105.2,0.2641,47.5,19,27.9,37.6,45.1,34.5,2015
Hofstra,34,20,108.7,104.6,0.6094,52.3,16,32.7,39.8,50.9,36.2,2015
James Madison,33,19,103.1,107.6,0.3805,51.9,20.3,29,42.2,49.7,37.2,2015
Towson,31,11,98.8,107,0.2842,44.6,21.5,41.1,48.3,44.4,30.1,2015
UNC Wilmington,31,17,100.5,99.7,0.5208,47.5,18,31,37.5,46.3,34,2015
William & Mary,31,18,111.2,106.9,0.6105,56.3,17.5,24.2,35.5,54.8,38.9,2015
College of Charleston,30,16,96.4,93.3,0.5922,47.4,19.5,30.4,32.8,45.6,34,2016
Delaware,30,7,100.5,109.9,0.2635,45.3,17.7,29.6,42.2,43.7,32.5,2016
Drexel,30,6,98.8,105.7,0.3161,44.3,16.8,27.7,36.9,42.3,32.7,2016
Elon,30,14,105,105.2,0.4927,51.8,17.7,27.2,30.4,52.5,33.9,2016
Hofstra,33,23,110.1,102.9,0.6855,51.4,16.7,31.9,39.5,50.1,35.6,2016
James Madison,31,20,106,98.7,0.6935,51.6,17.2,29.5,37,50.9,35,2016
Northeastern,32,17,106.2,102.3,0.6055,51.7,18.2,25.9,38.7,48.5,37.2,2016
Towson,31,18,104.5,103.2,0.5364,46.9,17.9,38.3,45.1,46.3,32.1,2016
William & Mary,29,18,112.4,103.6,0.7192,54.9,15.9,25.8,36.6,54.8,36.7,2016
College of Charleston,34,25,104.6,99.5,0.6418,49.4,15.9,25.4,42.7,49.1,33.2,2017
Delaware,31,13,97.5,107.2,0.2504,46.8,17.9,27.1,32.2,47.8,30,2017
Drexel,31,9,101.9,108.8,0.3184,49.9,18.5,30.4,31.6,48.5,34.9,2017
Elon,30,18,102.9,101.4,0.5416,52.1,16.6,24.2,30.7,50.9,35.7,2017
Hofstra,31,15,109.4,111.8,0.4368,51.7,15.2,31.1,37.7,49.6,36.4,2017
James Madison,32,10,98.4,103.4,0.3606,50.2,21.4,29.1,36.1,50.3,33.3,2017
Northeastern,31,15,105.2,106.5,0.4654,53.5,18.5,25.7,37.8,52.4,36.7,2017
Towson,32,20,104.3,100.6,0.6034,48.3,18.7,37,45.6,49.2,30.6,2017
William & Mary,29,17,111.5,108.7,0.5703,56.2,17.4,25.6,38.7,55.8,37.8,2017
Delaware,31,14,101.8,108,0.3351,50.3,15.8,26,34.4,50.7,32.9,2018
Drexel,32,13,102.3,110.2,0.2981,49.6,17.3,30.8,31.8,50.2,32.2,2018
Elon,30,14,102.6,110.7,0.2943,52.3,16.7,21.7,24,52.5,34.7,2018
Hofstra,30,19,110,109.4,0.5169,53.2,15.6,30.6,36.5,51.6,37.3,2018
James Madison,31,10,100.7,106.4,0.3462,48,16.5,28.9,34.1,46.7,33.5,2018
Northeastern,32,23,106.1,99.8,0.6709,56.9,19.8,25.3,35.1,57.6,37.3,2018
Towson,30,18,104,105.5,0.4584,51.6,18.2,34.3,35.4,51.1,35.3,2018
UNC Wilmington,30,11,104.3,110.6,0.3369,48.9,17.3,33.8,31.1,47.4,34.5,2018
William & Mary,29,19,114,114.8,0.4815,59.5,17.2,21.2,33.4,56.6,42.2,2018
College of Charleston,32,24,106.8,103.1,0.601,54.2,15.6,25.6,33.5,56.3,33.7,2019
Delaware,31,17,103.4,112.1,0.2821,53.3,17.2,24.2,31.2,50.9,37.8,2019
Drexel,31,13,103.1,112.9,0.2602,51.3,16.6,29.2,30.6,50.9,34.7,2019
Elon,30,11,99.2,110,0.2335,52,18.4,22.4,24.3,52.2,34.6,2019
Hofstra,34,27,114.7,108.6,0.6533,55.9,13.8,26.8,37.7,54.5,38.7,2019
James Madison,31,14,100,110.1,0.2487,50.2,18.8,30.1,33.4,47.5,36.6,2019
Towson,31,10,99.6,109.6,0.2501,47.9,18.8,35.2,28.1,47.6,32.6,2019
UNC Wilmington,32,10,103.8,113,0.2734,50.5,18.5,31.7,32.8,49.3,35,2019
William & Mary,30,14,102.3,107,0.3733,54.4,18.3,24.5,31.3,55.8,35,2019
Charlotte,32,14,106.2,106.4,0.4954,51.7,19.6,33.7,36.9,49.8,37.6,2015
FIU,31,14,94,102.6,0.2669,48.2,22.6,29,37.4,48.6,31.3,2015
Florida Atlantic,27,7,97,108,0.2239,48.2,19.5,26,27.8,45.6,34.9,2015
Louisiana Tech,35,26,105.7,98.1,0.7016,50.7,15.6,29,33.7,51.4,32.9,2015
Marshall,30,9,94.8,102,0.301,46.2,21.6,28.2,34.9,45.9,31.1,2015
Middle Tennessee,35,18,100.7,100.5,0.5048,47.9,20.3,31.6,36.8,44.2,36.3,2015
North Texas,29,12,98.6,103,0.3773,46.9,20.1,31.1,40,47.8,29.9,2015
Old Dominion,35,27,104.3,94.4,0.7584,48.6,17.5,36,30.6,48.4,32.5,2015
Rice,29,10,100.4,103.8,0.4048,51.7,22.1,26.5,33.7,47.6,37.3,2015
Southern Miss,27,7,94.1,108.4,0.1635,48.9,22.2,26.6,34.1,48.8,32.8,2015
UTEP,33,22,104.7,97.8,0.6851,52,18.8,29.1,43.8,50.9,36.6,2015
UTSA,28,12,104.2,108.7,0.3809,47.9,18.2,35.2,42.1,47.3,32.7,2015
Western Kentucky,30,18,101.6,102,0.4873,49.6,18.9,30.4,38.7,47.2,35.6,2015
Charlotte,33,14,103.4,108.2,0.3726,51,16.4,29.7,33.2,47.7,38.2,2016
FIU,30,11,102.2,107.3,0.3646,52,19.3,30.8,35.6,50.7,36.8,2016
Florida Atlantic,31,7,95,107.9,0.1885,46.7,17.6,23.1,32.3,44.2,34.1,2016
Louisiana Tech,31,21,102.7,102.8,0.4979,51.3,16.9,28.8,43,52,33.3,2016
Marshall,33,17,109.8,107.3,0.564,54.2,16.4,26.6,31.2,57.2,33.7,2016
North Texas,30,10,100.5,111.4,0.2333,49.3,19.5,30.3,44.1,49.8,32.2,2016
Old Dominion,38,25,105.5,97.9,0.7012,47.9,14.4,36.6,31,48.7,30.1,2016
Rice,30,10,104.7,115.6,0.2413,51.2,17.9,26.7,41.5,53.4,31.9,2016
Southern Miss,27,7,94.6,109.5,0.1566,49.4,20.3,23.3,36.1,45.2,35.9,2016
UAB,32,25,108.1,103.8,0.6163,53.6,17.8,32.4,33.4,52.6,37,2016
UTEP,32,18,102.9,106.2,0.4097,52.4,17.1,24.5,40.9,51.3,36.5,2016
UTSA,30,4,96.9,116,0.1125,47,18.1,26,37.4,46.5,32.1,2016
Western Kentucky,32,16,108.1,107.8,0.509,52.5,19,33.6,39.6,51.5,36.3,2016
Charlotte,29,13,101.6,107.5,0.3434,50.5,16.1,20.3,34,47.5,37.5,2017
FIU,29,7,102.5,111.8,0.2684,49.7,19.2,29.8,28.5,50.2,32.4,2017
Florida Atlantic,28,10,97.7,107.5,0.2501,46,16.6,26.9,30.4,45.5,31.4,2017
Louisiana Tech,31,23,106.4,99.8,0.6767,53.4,17.7,29.2,34.6,52,37.1,2017
Marshall,34,20,109.5,108.6,0.5247,53.6,15.9,24.4,37.1,51.8,37.4,2017
North Texas,28,8,95.9,109.6,0.1772,47.4,18.4,26.5,34.9,47.3,31.7,2017
Old Dominion,31,19,99.7,96.3,0.5996,45.6,17.5,35.5,34.1,44.5,32.4,2017
Rice,33,23,106.3,107.4,0.4701,53.9,19.4,28.6,41.5,50.9,38.9,2017
Southern Miss,29,9,92.4,109.2,0.1278,45,18.1,22.3,29.3,45.4,29.6,2017
UAB,32,17,103.1,105.1,0.4449,51.3,20,30,37.7,51.3,34.1,2017
UTEP,31,15,100.1,102.2,0.4419,51.8,19,22.2,36.3,51.9,34.3,2017
UTSA,31,14,94.7,102.3,0.2925,42.6,18.1,32.4,36.2,43.7,26.7,2017
Western Kentucky,32,15,102.5,107.8,0.3572,50.1,18,27.3,37.2,48.5,35.4,2017
Charlotte,28,6,98.7,113,0.1727,48.3,20.6,26.2,38.9,46.5,34.6,2018
FIU,29,14,98.6,102.4,0.3927,47.1,15.6,25.9,36.5,47.2,31.3,2018
Florida Atlantic,28,12,95.5,102,0.3187,43.9,18.2,28.5,29,42.3,31.9,2018
